ID,PUB?,LS,,KLA,Stage,Syllabus,Pages,OLD (NESA) URL,NEW (CUR) URL,Code,Pub,Syllabus code,Outcomes code,WBS,Jira,Consultation 21/665,"Approval draft/forms
21/664","MASTER
21/663","Online
assets
21/896",Publish (CAP),Count,Comment,Backend Comment
101,NO,LS,--,HSIE,11–12,Studies of Religion Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/hsie-life-skills-courses/studies-of-religion-i-life-skills,--,RELIGION-LS,2023,RELIGION-LS-11–12-2023,REI,--,OC-2397,--,--,--,--,??,YES,??,
102,NO,LS,--,TAS,11–12,Technology Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/technologies/technology-life-skills-courses/technology-life-skills,--,TECHNOLOGY-LS,2023,TECHNOLOGY-LS-11–12-2023,TE,--,OC-2309,--,--,--,--,??,YES,--,
103,NO,MS,MANDATORY,TAS,7–8,Technology Mandatory 7–8,28,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/technologies/technology-mandatory-7-8-new-syllabus,--,TECHNOLOGY-MAN,2023,TECHNOLOGY-MAN-7–8-2023,TE,WBS,OC-188,--,--,--,--,6 Dec 2023,YES,??,
104,NO,MS,--,TAS,11–12,Textiles and Design 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/technologies/textiles-and-design-syllabus,--,TEXTILES,2023,TEXTILES-11–12-2023,TX,--,OC-2311,--,--,--,--,??,YES,--,
105,NO,LS,--,TAS,11–12,Textiles and Design Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/technologies/technology-life-skills-courses/textiles-and-design-life-skills,--,TEXTILES-LS,2023,TEXTILES-LS-11–12-2023,TX,--,OC-2310,--,--,--,--,??,YES,--,
106,NO,MS,ELECTIVE (5),TAS,7–10,Textiles Technology 7–10,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/technologies/textiles-technology-2019,--,TEXTILES-TECH,2024,TEXTILES-TECH-7–10-2024,??,--,OC-2312,,,,,??,YES,--,
107,NO,MS,--,ART,11–12,Visual Arts 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-creative-arts/visual-arts-syllabus,--,VISUAL-ARTS,2023,VISUAL-ARTS-11–12-2023,VA,--,OC-2313,--,--,--,--,??,YES,--,
108,NO,MS,MANDALECTIVES,ART,7–10,Visual Arts 7–10,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/creative-arts/visual-arts-7-10,--,VISUAL-ARTS,2023,VISUAL-ARTS-7–10-2023,VA,WBS,OC-234,SUB22/2152,--,--,--,??,YES,--,
109,NO,LS,--,ART,11–12,Visual Arts Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-creative-arts/visual-arts-life-skills,--,VISUAL-ARTS-LS,2023,VISUAL-ARTS-LS-11–12-2023,VA,--,OC-2314,--,--,--,--,??,YES,--,
110,NO,MS,--,ART,11–12,Visual Design 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-creative-arts/visual-design,--,VISUAL-DESIGN,2023,VISUAL-DESIGN-11–12-2023,VD,--,https://bostes.atlassian.net/browse/OC-189,--,--,--,--,??,YES,??,
111,NO,MS,ELECTIVE (4/5),ART,7–10,Visual Design 7–10,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/creative-arts/visual-design-7-10,--,VISUAL-DESIGN,2023,VISUAL-DESIGN-7–10-2023,VD,WBS,OC-189,--,--,--,--,Q4/2023,YES,--,
112,NO,LS,--,HSIE,11–12,Work and the Community Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/hsie-life-skills-courses/work-community-life-skills,--,WORK-LS,2023,WORK-LS-11–12-2023,WO,--,OC-2315,--,--,--,--,??,YES,--,
113,NO,MS,ELECTIVE (5),HSIE,7–10,Work Education 7–10,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/hsie/work-education-7-10-2019,--,WORK-EDU,2023,WORK-EDU-7–10-2023,WE,--,OC-190,--,--,--,--,Q4/2023,YES,--,
114,NO,MS,--,HSIE,11–12,Work Studies 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/work-studies,--,WORK-STUDIES,2023,WORK-STUDIES-11–12-2023,WS,--,OC-2316,--,--,--,--,??,YES,--,
